ID,Checklist Type,PMO,PTL Reviewer,Current Status,Date Initiated,Practitioner Login ID,Practitioner Email ID,Name,Practitioner,DSP Reviewer,Practitioner Delegate,Overall Status,Due Date,Workflow Queue,Documents
ONBC1,Offboarding,Priti Mondal,Srikanth Rao,Asset Returned,03-Apr-26,769EBC680,anil@ibm.com,Anil,Anil,Anitha Indrakanti,Harsha V,Closed,13-Apr-26,Practitioner,Onboarding Training/Reference Documents
ONBC2,Offboarding,Priti Mondal,Rajesh Mani,Offboarded,06-Apr-26,905EBC192,sony@ibm.com,Sony,Sony,Rohit Sharma,Karthik P,Open,12-Apr-26,Practitioner,Onboarding Training/Reference Documents
ONBC3,Offboarding,Priti Mondal,Swetha Nair,Asset Returned,07-Mar-26,476EBC790,sarah@ibm.com,Sarah,Sarah,Meera Nair,Deepa R,Closed,10-Mar-26,Practitioner,Onboarding Training/Reference Documents
ONBC4,Offboarding,Priti Mondal,Swetha Nair,Offboarded,12-Mar-26,902EBC139,dheeraj@ibm.com,Dheeraj,Dheeraj,Meera Nair,Ajay K,Closed,01-Apr-26,Practitioner,Onboarding Training/Reference Documents
ONBC5,Offboarding,Priti Mondal,Srikanth Rao,BCG Completed,13-Feb-26,625EBC646,kiran@ibm.com,Kiran,Kiran,Anitha Indrakanti,Harsha V,Open,10-Mar-26,Practitioner,Onboarding Training/Reference Documents
ONBC6,Offboarding,Priti Mondal,Rajesh Mani,Asset Initiated,08-Mar-26,383EBC926,ravi@ibm.com,Ravi,Ravi,Rohit Sharma,Karthik P,Open,26-Mar-26,Practitioner,Onboarding Training/Reference Documents
ONBC7,Onboarding,Priti Mondal,Srikanth Rao,Onboarded,03-Feb-26,181EBC832,megha@ibm.com,Megha,Megha,Anitha Indrakanti,Harsha V,Closed,12-Feb-26,Practitioner,Onboarding Training/Reference Documents
ONBC8,Onboarding,Priti Mondal,Srikanth Rao,BCG Completed,25-Jan-26,627EBC821,arjun@ibm.com,Arjun,Arjun,Anitha Indrakanti,Harsha V,Closed,16-Feb-26,Practitioner,Onboarding Training/Reference Documents
ONBC9,Offboarding,Priti Mondal,Srikanth Rao,Offboarded,10-Jan-26,233EBC411,nina@ibm.com,Nina,Nina,Anitha Indrakanti,Harsha V,Closed,18-Jan-26,Practitioner,Onboarding Training/Reference Documents
ONBC10,Onboarding,Priti Mondal,Swetha Nair,Asset Initiated,10-Mar-26,582EBC460,vikram@ibm.com,Vikram,Vikram,Meera Nair,Ajay K,Closed,26-Mar-26,Practitioner,Onboarding Training/Reference Documents
